,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjO_Rk,AdjD,AdjD_Rk,AdjT,AdjT_Rk,Luck,Luck_Rk,SOS,SOS1,SOS2,SOS3,SOS4,SOS5,SOS6,SOS7
0,1,Auburn,SEC,2-0,+29.88,121.4,2,91.5,4,71.9,136,+.189,12,+15.31,56,111.3,78,96.0,39,+15.31,56
1,2,Houston,B12,1-1,+28.95,119.7,5,90.8,1,66.6,360,-.220,359,+4.89,136,106.9,141,102.0,133,+4.89,136
2,3,Gonzaga,WCC,1-0,+27.95,123.5,1,95.6,25,73.0,65,+.000,104,+14.90,61,115.1,33,100.2,96,+14.90,61
3,4,Duke,ACC,2-0,+27.77,119.8,4,92.0,5,71.3,180,+.000,96,-12.72,292,97.2,304,109.9,280,-12.72,292
4,5,Connecticut,BE,2-0,+26.10,118.7,8,92.6,7,69.1,314,+.000,104,-18.97,337,94.5,326,113.5,333,-18.97,337
5,6,Alabama,SEC,2-0,+25.28,120.5,3,95.2,22,76.4,2,+.174,15,-3.42,214,104.3,190,107.7,242,-3.42,214
6,7,Arizona,B12,2-0,+24.98,118.1,11,93.1,8,74.2,20,+.014,64,-14.68,306,98.6,284,113.3,332,-14.68,306
7,8,Kansas,B12,2-0,+24.37,119.4,6,95.0,20,72.5,91,+.198,9,+3.96,146,108.1,126,104.1,171,+3.96,146
8,9,Tennessee,SEC,2-0,+24.32,115.2,29,90.9,3,69.7,284,+.000,91,+3.03,157,106.0,159,102.9,147,+3.03,157
9,10,Iowa St.,B12,1-0,+24.30,115.1,30,90.8,2,71.1,191,+.000,104,-30.97,353,84.9,353,115.9,350,-30.97,353
10,11,Purdue,B10,2-0,+22.95,118.6,9,95.6,26,69.2,306,+.000,84,-7.51,255,99.0,274,106.5,221,-7.51,255
11,12,Texas Tech,B12,2-0,+21.94,116.5,16,94.6,13,68.4,337,+.001,80,-15.33,312,96.2,309,111.5,309,-15.33,312
12,13,Cincinnati,B12,2-0,+21.36,116.1,19,94.7,16,70.2,262,+.003,73,-19.62,340,94.1,335,113.7,337,-19.62,340
13,14,Marquette,BE,2-0,+21.34,116.4,18,95.0,19,72.5,92,+.031,60,-5.10,235,101.7,236,106.8,228,-5.10,235
14,15,St. John's,BE,2-0,+21.13,115.8,22,94.7,14,73.3,53,+.000,85,-7.17,251,99.1,273,106.3,216,-7.17,251
15,16,North Carolina,ACC,1-1,+21.04,118.1,10,97.1,46,74.1,23,-.179,352,+8.21,108,110.2,96,101.9,132,+8.21,108
16,17,Creighton,BE,1-0,+21.03,119.1,7,98.0,55,71.6,154,+.000,104,-13.69,303,98.9,278,112.6,325,-13.69,303
17,18,Texas A&M,SEC,1-1,+20.49,115.5,26,95.0,18,69.0,316,-.221,360,-3.47,215,100.6,253,104.1,170,-3.47,215
18,19,Illinois,B10,2-0,+19.98,116.7,15,96.7,41,73.3,49,+.000,104,-18.21,332,94.2,333,112.4,321,-18.21,332
19,20,Mississippi St.,SEC,2-0,+19.77,115.8,21,96.1,30,71.0,198,+.000,104,-13.57,302,98.3,286,111.8,315,-13.57,302
20,21,Ohio St.,B10,1-0,+19.57,116.0,20,96.4,37,71.0,200,+.000,104,+18.68,36,114.4,40,95.7,37,+18.68,36
21,22,Oregon,B10,2-0,+19.56,115.8,23,96.2,33,70.1,263,+.033,59,-5.32,239,103.8,201,109.1,267,-5.32,239
22,23,Baylor,B12,1-1,+19.52,117.4,12,97.9,53,68.6,329,+.202,8,+25.22,6,118.9,6,93.7,15,+25.22,6
23,24,Florida,SEC,2-0,+19.51,117.2,13,97.7,51,73.3,48,+.001,78,-1.20,193,103.0,215,104.2,175,-1.20,193
24,25,Michigan,B10,1-0,+19.12,115.3,27,96.2,32,72.1,118,+.000,104,-7.90,263,100.3,258,108.2,254,-7.90,263
25,26,Pittsburgh,ACC,2-0,+18.82,115.7,24,96.9,43,70.5,235,+.057,51,-6.23,242,102.9,221,109.1,270,-6.23,242
26,27,Texas,SEC,1-1,+18.68,114.4,36,95.7,28,70.5,236,-.166,345,-2.25,201,104.2,193,106.5,220,-2.25,201
27,28,Clemson,ACC,2-0,+18.63,115.5,25,96.8,42,70.4,242,+.000,104,-17.52,328,96.0,311,113.5,334,-17.52,328
28,29,Dayton,A10,2-0,+18.52,113.2,44,94.7,15,69.3,298,+.159,22,-5.13,236,101.0,248,106.2,213,-5.13,236
29,30,Kentucky,SEC,2-0,+18.38,116.4,17,98.0,54,74.0,27,+.001,81,-7.36,254,101.3,243,108.7,262,-7.36,254
30,31,Maryland,B10,2-0,+18.18,110.3,74,92.1,6,70.0,274,+.000,104,-15.42,313,94.8,321,110.3,286,-15.42,313
31,32,BYU,B12,2-0,+18.10,115.2,28,97.1,48,71.6,150,+.171,17,-11.45,283,99.5,270,110.9,300,-11.45,283
32,33,Michigan St.,B10,2-0,+18.10,112.2,49,94.2,10,70.2,254,+.000,82,-15.30,311,97.3,301,112.6,327,-15.30,311
33,34,Arkansas,SEC,1-1,+17.81,112.0,52,94.2,11,72.5,95,-.131,337,+9.56,97,111.8,70,102.2,137,+9.56,97
34,35,UCLA,B10,1-1,+17.80,112.7,46,94.9,17,67.9,349,-.183,353,+1.18,168,103.3,211,102.1,135,+1.18,168
35,36,VCU,A10,2-0,+17.36,112.6,48,95.3,23,70.6,225,+.000,103,-7.82,258,101.4,239,109.3,274,-7.82,258
36,37,Memphis,Amer,2-0,+16.74,113.7,38,97.0,44,73.9,29,+.000,97,+10.78,91,112.0,66,101.2,111,+10.78,91
37,38,Northwestern,B10,1-1,+16.71,111.9,54,95.2,21,68.9,318,-.214,358,+4.58,142,106.4,153,101.8,126,+4.58,142
38,39,Oklahoma,SEC,1-0,+16.55,112.0,50,95.5,24,70.7,217,+.000,104,-21.17,347,92.9,345,114.0,342,-21.17,347
39,40,Iowa,B10,2-0,+16.06,116.8,14,100.8,92,73.9,28,+.000,89,-17.82,330,92.8,347,110.6,294,-17.82,330
40,41,Saint Mary's,WCC,2-0,+16.05,115.0,31,99.0,72,67.0,357,+.005,71,-2.79,207,105.4,171,108.2,253,-2.79,207
41,42,Penn St.,B10,2-0,+15.89,113.1,45,97.2,49,73.4,44,+.000,104,-15.82,315,98.2,289,114.0,341,-15.82,315
42,43,Boise St.,MWC,1-1,+15.77,113.6,40,97.8,52,69.3,302,-.168,347,+3.25,155,107.2,137,103.9,164,+3.25,155
43,44,LSU,SEC,1-0,+15.53,114.0,37,98.4,62,72.4,98,+.000,104,-17.27,325,94.4,329,111.7,312,-17.27,325
44,45,Indiana,B10,1-0,+15.50,111.8,55,96.3,36,72.1,122,+.000,104,-17.37,326,95.0,319,112.4,323,-17.37,326
45,46,Utah St.,MWC,2-0,+15.13,114.5,35,99.4,75,72.1,121,+.011,66,-12.57,291,101.4,242,113.9,339,-12.57,291
46,47,Miami FL,ACC,1-0,+15.04,114.7,34,99.6,77,71.8,140,+.000,104,-22.49,349,94.3,332,116.8,352,-22.49,349
47,48,Villanova,BE,2-1,+14.74,115.0,32,100.3,87,67.4,355,-.045,311,-12.15,287,98.1,291,110.2,285,-12.15,287
48,49,Wisconsin,B10,2-0,+14.67,113.6,41,98.9,71,68.3,341,+.014,63,-14.33,305,98.8,282,113.1,331,-14.33,305
49,50,TCU,B12,2-0,+14.47,111.8,56,97.3,50,70.9,207,+.058,50,-16.68,319,94.4,328,111.1,302,-16.68,319
50,51,Kansas St.,B12,2-0,+14.33,110.0,79,95.7,27,70.5,237,+.012,65,-14.76,307,97.0,306,111.8,314,-14.76,307
51,52,Xavier,BE,2-0,+14.19,114.8,33,100.7,91,72.3,105,+.003,74,-17.98,331,94.6,325,112.6,326,-17.98,331
52,53,San Diego St.,MWC,1-0,+14.10,108.2,104,94.1,9,69.3,305,+.000,104,+0.68,172,106.4,154,105.7,205,+0.68,172
53,54,Missouri,SEC,1-1,+13.80,112.6,47,98.8,69,70.6,228,-.093,330,+6.16,122,108.1,128,101.9,129,+6.16,122
54,55,USC,B10,2-0,+13.72,112.0,51,98.3,59,71.8,139,+.130,34,-8.30,267,101.4,241,109.7,279,-8.30,267
55,56,Nevada,MWC,2-0,+13.48,111.5,61,98.1,56,69.3,301,+.000,83,+3.17,156,105.1,178,101.9,128,+3.17,156
56,57,New Mexico,MWC,2-0,+13.26,109.5,88,96.2,31,77.1,1,+.000,99,+5.11,132,106.4,152,101.3,114,+5.11,132
57,58,N.C. State,ACC,2-0,+13.15,113.2,43,100.1,83,71.6,158,+.085,45,-17.10,322,98.0,292,115.1,348,-17.10,322
58,59,Rutgers,B10,1-0,+13.09,107.3,121,94.3,12,71.3,179,+.000,104,-13.48,298,94.7,324,108.1,252,-13.48,298
59,60,Mississippi,SEC,2-0,+12.81,113.3,42,100.5,89,70.5,231,+.208,6,-16.20,316,94.3,331,110.5,292,-16.20,316
60,61,Wake Forest,ACC,2-0,+12.74,109.3,90,96.5,39,73.2,55,+.000,104,-19.97,344,90.8,349,110.8,297,-19.97,344
61,62,SMU,ACC,2-0,+12.70,113.6,39,100.9,93,72.7,84,+.000,101,-18.29,333,93.9,338,112.2,319,-18.29,333
62,63,UCF,B12,2-0,+12.68,109.0,92,96.3,34,70.7,215,+.028,61,+6.59,117,108.1,124,101.5,120,+6.59,117
63,64,Utah,B12,2-0,+12.36,111.0,68,98.7,65,72.1,120,+.000,92,-20.32,345,94.7,323,115.0,346,-20.32,345
64,65,Notre Dame,ACC,1-0,+11.96,110.6,71,98.7,66,68.4,338,+.000,104,-24.64,351,89.1,351,113.8,338,-24.64,351
65,66,Minnesota,B10,2-0,+11.74,110.0,80,98.2,58,68.9,320,+.159,21,-12.96,295,99.2,272,112.2,318,-12.96,295
66,67,Georgia Tech,ACC,1-0,+11.44,111.1,67,99.7,79,71.2,183,+.000,104,-18.82,335,95.5,315,114.3,344,-18.82,335
67,68,Louisville,ACC,1-1,+11.35,109.6,83,98.3,60,73.2,56,-.091,329,+2.71,160,104.0,198,101.3,113,+2.71,160
68,69,Nebraska,B10,2-0,+11.29,107.3,122,96.0,29,72.9,71,+.115,37,-13.45,297,97.5,300,110.9,299,-13.45,297
69,70,Grand Canyon,WAC,2-0,+11.17,111.4,63,100.2,86,72.0,131,+.147,25,-6.68,248,99.2,271,105.9,208,-6.68,248
70,71,Providence,BE,2-0,+11.06,107.5,111,96.5,38,70.1,268,+.160,20,-17.26,324,93.0,344,110.3,288,-17.26,324
71,72,North Texas,Amer,2-0,+10.89,109.6,84,98.7,67,66.5,361,+.000,104,-9.17,272,99.7,264,108.9,265,-9.17,272
72,73,Arizona St.,B12,2-0,+10.84,107.1,127,96.3,35,71.6,159,+.000,104,-1.81,196,104.1,195,105.9,207,-1.81,196
73,74,West Virginia,B12,2-0,+10.36,109.5,86,99.2,74,71.0,197,+.139,26,-6.85,249,100.9,250,107.8,243,-6.85,249
74,75,Colorado St.,MWC,2-0,+10.29,108.6,99,98.3,61,71.2,187,+.104,38,-12.83,293,97.6,299,110.4,290,-12.83,293
75,76,San Francisco,WCC,2-0,+10.21,111.5,62,101.3,99,72.6,89,+.002,77,-3.92,219,101.9,233,105.8,206,-3.92,219
76,77,Stanford,ACC,2-0,+9.90,111.0,69,101.1,95,68.8,324,+.000,98,-15.25,310,96.4,307,111.6,311,-15.25,310
77,78,South Carolina,SEC,1-1,+9.87,108.8,97,98.9,70,68.5,335,-.203,356,-9.80,276,100.3,260,110.1,283,-9.80,276
78,79,Georgia,SEC,1-0,+9.41,109.7,82,100.3,88,72.0,133,+.000,104,-17.43,327,95.1,318,112.5,324,-17.43,327
79,80,UC Irvine,BW,2-0,+9.36,106.4,137,97.0,45,71.6,156,+.000,104,+5.28,129,108.1,127,102.8,142,+5.28,129
80,81,Vanderbilt,SEC,1-0,+9.31,111.6,60,102.3,114,72.5,93,+.000,104,-25.45,352,90.3,350,115.8,349,-25.45,352
81,82,Wichita St.,Amer,2-0,+9.24,110.6,72,101.3,100,73.1,62,+.099,40,-0.14,181,104.2,192,104.4,178,-0.14,181
82,83,Washington,B10,1-1,+9.23,105.8,144,96.6,40,72.7,81,+.099,39,+6.49,118,106.6,149,100.1,94,+6.49,118
83,84,Florida St.,ACC,2-0,+9.13,107.3,123,98.2,57,73.8,33,+.000,88,-4.18,225,100.2,261,104.4,181,-4.18,225
84,85,Florida Atlantic,Amer,2-0,+9.10,110.0,78,100.9,94,73.2,59,+.000,104,-3.22,210,103.7,202,107.0,229,-3.22,210
85,86,Princeton,Ivy,2-0,+9.07,111.6,58,102.6,121,70.1,267,+.171,16,-4.74,233,102.4,230,107.1,231,-4.74,233
86,87,Colorado,B12,2-0,+8.90,107.4,119,98.5,63,70.2,255,+.203,7,-8.60,269,102.5,228,111.1,303,-8.60,269
87,88,Syracuse,ACC,1-0,+8.78,111.8,57,103.0,128,74.1,24,+.000,104,-19.10,338,96.0,312,115.1,347,-19.10,338
88,89,Virginia,ACC,1-0,+8.42,107.0,129,98.6,64,65.6,364,+.000,104,-15.19,309,97.1,305,112.3,320,-15.19,309
89,90,Oklahoma St.,B12,1-0,+8.28,107.1,128,98.8,68,74.7,12,+.000,104,-16.73,320,99.6,269,116.3,351,-16.73,320
90,91,Santa Clara,WCC,1-1,+8.22,111.6,59,103.4,137,72.0,132,+.006,69,+7.80,110,108.7,119,100.9,105,+7.80,110
91,92,Loyola Chicago,A10,2-0,+8.20,107.8,108,99.6,78,72.2,108,+.092,43,-19.97,343,94.0,336,114.0,340,-19.97,343
92,93,Louisiana Tech,CUSA,2-0,+7.94,110.2,76,102.2,113,69.1,315,+.000,104,+1.99,166,108.7,117,106.7,226,+1.99,166
93,94,Liberty,CUSA,2-0,+7.73,108.3,102,100.6,90,67.9,350,+.192,11,-0.48,185,104.5,186,105.0,192,-0.48,185
94,95,UNLV,MWC,1-1,+7.73,111.4,64,103.6,141,69.9,275,-.113,335,-0.23,183,104.9,182,105.1,195,-0.23,183
95,96,Virginia Tech,ACC,2-0,+7.70,110.1,77,102.4,117,70.8,211,+.000,102,-20.62,346,92.4,348,113.0,329,-20.62,346
96,97,Georgetown,BE,2-0,+7.67,110.9,70,103.2,132,70.2,257,+.001,79,-13.53,300,96.4,308,109.9,281,-13.53,300
97,98,UAB,Amer,1-1,+7.63,111.9,53,104.3,151,72.2,116,-.106,333,-4.64,231,100.4,255,105.1,193,-4.64,231
98,99,George Mason,A10,1-1,+7.30,106.8,131,99.5,76,69.2,312,+.006,70,+6.39,120,108.6,121,102.2,138,+6.39,120
99,100,Bradley,MVC,1-1,+6.91,109.3,89,102.4,116,69.8,279,-.070,319,-4.02,223,103.0,218,107.0,230,-4.02,223
100,101,Washington St.,WCC,2-0,+6.72,110.3,73,103.6,139,73.4,47,+.043,56,-3.34,211,103.4,208,106.8,227,-3.34,211
101,102,Oregon St.,WCC,2-0,+6.36,106.4,139,100.0,82,68.5,333,+.000,95,-12.16,288,98.1,290,110.3,287,-12.16,288
102,103,Sam Houston St.,CUSA,1-1,+6.33,108.9,93,102.6,122,71.8,141,-.069,318,+6.82,115,107.9,129,101.1,108,+6.82,115
103,104,Butler,BE,1-1,+6.30,108.3,103,102.0,108,70.4,243,-.150,340,-8.95,270,98.8,279,107.8,244,-8.95,270
104,105,Northern Iowa,MVC,2-0,+5.94,108.0,106,102.1,111,70.0,273,+.000,104,-7.18,252,104.1,196,111.3,305,-7.18,252
105,106,Seton Hall,BE,1-1,+5.86,103.0,201,97.1,47,68.8,325,-.167,346,-6.99,250,97.2,302,104.2,172,-6.99,250
106,107,Rhode Island,A10,2-0,+5.86,109.5,87,103.6,140,72.6,88,+.058,49,-16.74,321,95.7,313,112.4,322,-16.74,321
107,108,High Point,BSth,2-0,+5.60,111.3,65,105.7,184,71.7,149,+.137,28,-22.28,348,89.0,352,111.3,307,-22.28,348
108,109,Massachusetts,A10,1-1,+5.47,107.2,124,101.8,104,73.4,43,-.172,349,-2.28,202,102.9,220,105.2,198,-2.28,202
109,110,UC San Diego,BW,1-1,+5.45,108.8,95,103.3,136,70.2,261,-.147,339,+4.33,144,105.6,170,101.2,110,+4.33,144
110,111,Arkansas St.,SB,1-1,+5.38,107.8,109,102.5,118,73.5,39,+.079,46,+14.59,65,112.6,58,98.0,63,+14.59,65
111,112,Charleston,CAA,2-0,+5.23,108.2,105,102.9,126,73.4,46,+.000,87,-0.12,180,104.0,200,104.1,169,-0.12,180
112,113,Saint Joseph's,A10,1-1,+5.19,107.2,125,102.0,109,72.2,115,-.016,304,-9.81,277,97.6,298,107.4,237,-9.81,277
113,114,UC Santa Barbara,BW,2-0,+5.10,107.4,118,102.3,115,70.5,229,+.000,104,-7.71,257,103.0,217,110.7,296,-7.71,257
114,115,Yale,Ivy,1-1,+4.92,107.5,117,102.5,120,71.0,202,-.110,334,-3.67,217,102.7,225,106.4,219,-3.67,217
115,116,Saint Louis,A10,0-1,+4.83,110.2,75,105.4,177,73.2,58,+.000,104,+8.22,107,111.6,72,103.4,153,+8.22,107
116,117,Troy,SB,2-0,+4.79,103.8,182,99.0,73,73.0,64,+.002,75,-8.18,265,102.8,222,111.0,301,-8.18,265
117,118,St. Bonaventure,A10,2-0,+4.47,107.8,110,103.3,135,68.8,322,+.000,100,-7.93,264,100.9,251,108.8,264,-7.93,264
118,119,Lipscomb,ASun,2-1,+4.45,108.5,101,104.1,146,71.5,163,+.169,19,+8.45,106,109.2,111,100.8,102,+8.45,106
119,120,Temple,Amer,2-0,+4.29,108.7,98,104.4,157,71.3,182,+.060,48,-13.35,296,98.2,288,111.5,308,-13.35,296
120,121,McNeese,Slnd,1-1,+4.22,107.5,113,103.3,134,71.4,172,+.000,104,+1.27,167,106.6,148,105.4,202,+1.27,167
121,122,Towson,CAA,1-1,+4.17,107.2,126,103.0,127,68.1,342,+.000,104,+21.14,21,117.6,13,96.4,48,+21.14,21
122,123,Vermont,AE,1-2,+4.11,104.0,177,99.9,81,66.9,359,+.094,42,+16.28,52,112.8,55,96.5,49,+16.28,52
123,124,Murray St.,MVC,1-1,+4.04,107.5,115,103.4,138,69.8,281,+.000,104,+23.53,11,118.1,10,94.5,22,+23.53,11
124,125,South Florida,Amer,0-2,+3.96,105.9,143,102.0,106,73.5,41,+.000,269,+14.52,67,113.8,48,99.2,80,+14.52,67
125,126,Utah Valley,WAC,2-0,+3.57,103.7,187,100.1,84,72.1,124,+.000,104,-8.29,266,98.0,293,106.3,217,-8.29,266
126,127,Davidson,A10,2-0,+3.56,107.9,107,104.3,152,70.7,214,+.000,104,-3.65,216,104.4,188,108.1,251,-3.65,216
127,128,UMass Lowell,AE,2-0,+3.52,108.5,100,105.0,163,72.9,70,+.000,104,-8.98,271,95.4,316,104.4,180,-8.98,271
128,129,Western Kentucky,CUSA,0-2,+3.21,104.3,170,101.1,96,75.6,7,-.089,327,+10.20,93,111.0,84,100.8,101,+10.20,93
129,130,Kent St.,MAC,2-0,+3.12,106.0,141,102.9,124,69.9,277,+.000,104,+4.11,145,105.6,169,101.5,118,+4.11,145
130,131,Wofford,SC,1-1,+3.04,111.3,66,108.2,258,68.0,345,+.000,104,+9.21,102,110.9,86,101.7,123,+9.21,102
131,132,Akron,MAC,1-1,+3.03,104.3,171,101.3,98,70.4,246,+.000,104,+9.85,96,110.1,98,100.2,95,+9.85,96
132,133,Drake,MVC,1-0,+2.73,105.4,153,102.6,123,71.5,168,+.000,104,-99.00,354,0.0,354,200.0,354,-99.00,354
133,134,California,ACC,2-0,+2.69,106.5,134,103.8,143,73.0,68,+.000,94,-16.29,317,94.1,334,110.4,291,-16.29,317
134,135,Purdue Fort Wayne,Horz,1-1,+2.45,105.7,147,103.2,133,73.0,63,+.000,104,+17.16,46,111.2,80,94.0,17,+17.16,46
135,136,La Salle,A10,2-0,+2.28,104.4,169,102.1,112,69.7,288,+.000,93,-11.87,286,97.7,297,109.5,276,-11.87,286
136,137,East Carolina,Amer,2-0,+2.22,106.7,133,104.5,159,68.1,344,+.000,104,-13.69,304,95.5,314,109.2,272,-13.69,304
137,138,Middle Tennessee,CUSA,2-0,+2.21,102.0,228,99.8,80,70.3,253,+.000,104,-0.11,179,103.1,214,103.2,151,-0.11,179
138,139,George Washington,A10,2-0,+1.98,106.8,132,104.8,162,71.6,155,+.000,86,-19.93,342,94.3,330,114.3,343,-19.93,342
139,140,Ohio,MAC,1-1,+1.59,109.1,91,107.5,244,71.8,143,+.072,47,-2.60,206,104.9,181,107.5,239,-2.60,206
140,141,UC Riverside,BW,0-2,+1.55,107.5,116,105.9,186,71.4,174,-.057,312,+23.40,12,117.8,11,94.4,21,+23.40,12
141,142,New Mexico St.,CUSA,2-0,+1.50,103.2,195,101.7,102,69.7,287,+.000,104,-5.78,240,101.6,237,107.4,234,-5.78,240
142,143,Texas St.,SB,2-0,+1.39,103.2,197,101.8,103,68.8,323,+.000,104,-16.47,318,93.9,339,110.3,289,-16.47,318
143,144,Seattle,WAC,0-2,+1.28,104.5,166,103.2,130,70.6,220,-.087,326,-0.02,178,106.0,157,106.0,209,-0.02,178
144,145,Boston College,ACC,1-1,+1.27,104.4,167,103.2,129,70.5,233,+.125,36,-1.04,192,103.0,216,104.1,167,-1.04,192
145,146,Tulsa,Amer,2-0,+1.25,106.5,135,105.2,173,72.9,74,+.000,104,-24.13,350,93.5,342,117.6,353,-24.13,350
146,147,Columbia,Ivy,3-0,+1.05,108.8,94,107.8,251,72.9,73,+.098,41,-6.25,243,100.4,257,106.6,224,-6.25,243
147,148,Charlotte,Amer,1-1,+0.90,109.7,81,108.8,270,67.1,356,+.133,33,+3.81,150,109.4,110,105.6,204,+3.81,150
148,149,Samford,SC,1-1,+0.76,107.4,120,106.6,213,75.9,4,+.000,104,+3.80,151,109.1,113,105.3,200,+3.80,151
149,150,Duquesne,A10,0-2,+0.73,102.6,209,101.8,105,72.0,130,-.000,284,+5.60,126,109.5,109,103.9,160,+5.60,126
150,151,Loyola Marymount,WCC,1-1,+0.61,105.7,146,105.1,167,69.2,308,+.000,104,+4.69,139,104.1,197,99.4,83,+4.69,139
151,152,Winthrop,BSth,2-0,+0.59,104.9,158,104.4,155,72.3,100,+.000,104,-11.33,281,98.8,281,110.2,284,-11.33,281
152,153,Toledo,MAC,1-1,+0.45,109.5,85,109.1,285,72.9,75,+.002,76,+5.58,127,106.0,158,100.4,98,+5.58,127
153,154,UNC Wilmington,CAA,2-0,+0.42,106.3,140,105.9,187,71.0,205,+.000,104,-6.26,244,101.3,244,107.5,240,-6.26,244
154,155,Stephen F. Austin,Slnd,1-0,+0.39,102.9,202,102.5,119,72.7,83,+.000,104,-99.00,354,0.0,354,200.0,354,-99.00,354
155,156,Chattanooga,SC,0-2,+0.35,108.8,96,108.4,260,69.8,282,-.023,305,+19.63,33,115.9,23,96.3,45,+19.63,33
156,157,Hofstra,CAA,2-0,+0.25,105.0,154,104.8,160,70.8,210,+.000,104,-7.89,261,103.3,210,111.2,304,-7.89,261
157,158,Furman,SC,2-0,+0.20,105.4,152,105.2,168,71.1,195,+.000,104,+3.02,158,106.8,144,103.8,158,+3.02,158
158,159,Cal Baptist,WAC,2-0,+0.16,107.5,114,107.3,238,68.5,334,+.000,90,-12.43,290,100.6,254,113.0,328,-12.43,290
159,160,Southern Illinois,MVC,1-1,+0.11,104.2,174,104.1,145,73.8,35,+.000,104,+5.23,130,108.2,123,102.9,148,+5.23,130
160,161,UC Davis,BW,1-1,-0.08,101.9,230,102.0,107,73.7,36,+.039,57,+4.78,138,105.4,173,100.6,99,+4.78,138
161,162,Fordham,A10,1-1,-0.10,101.4,241,101.5,101,71.4,175,+.245,3,+18.30,39,111.8,69,93.5,13,+18.30,39
162,163,Appalachian St.,SB,1-1,-0.17,102.8,206,102.9,125,70.6,224,+.000,104,-7.85,259,99.7,267,107.5,241,-7.85,259
163,164,Youngstown St.,Horz,1-0,-0.33,103.7,186,104.0,144,72.0,129,+.000,104,-10.68,280,97.2,303,107.9,247,-10.68,280
164,165,Cornell,Ivy,2-0,-0.34,107.0,130,107.4,241,73.9,31,+.000,104,-3.38,212,105.3,175,108.7,261,-3.38,212
165,166,North Alabama,ASun,2-0,-0.51,105.7,145,106.3,200,71.0,204,+.000,104,-2.24,200,105.7,167,107.9,249,-2.24,200
166,167,Louisiana,SB,1-1,-0.53,103.3,194,103.8,142,71.5,167,+.000,104,-1.52,195,103.7,203,105.2,197,-1.52,195
167,168,DePaul,BE,2-0,-0.55,104.5,165,105.1,164,70.6,222,+.211,5,-19.71,341,93.4,343,113.1,330,-19.71,341
168,169,UNC Greensboro,SC,1-0,-0.78,105.0,155,105.8,185,68.7,328,+.000,104,-9.58,274,98.8,280,108.4,257,-9.58,274
169,170,Richmond,A10,1-1,-0.85,104.4,168,105.3,174,70.6,227,+.000,104,-9.78,275,98.9,277,108.7,263,-9.78,275
170,171,Northern Colorado,BSky,1-1,-0.96,105.6,149,106.5,210,72.4,96,+.000,104,+13.45,71,109.6,107,96.2,44,+13.45,71
171,172,South Dakota St.,Sum,2-0,-1.00,105.5,151,106.5,208,71.4,170,+.169,18,-4.31,227,103.6,206,107.9,248,-4.31,227
172,173,Northern Kentucky,Horz,0-2,-1.06,100.1,270,101.2,97,70.0,271,-.034,307,+20.44,27,115.1,32,94.7,25,+20.44,27
173,174,James Madison,SB,1-1,-1.20,104.9,159,106.1,195,69.8,283,+.051,53,-0.54,186,106.6,150,107.1,232,-0.54,186
174,175,North Florida,ASun,2-0,-1.21,105.5,150,106.7,220,71.9,137,+.176,14,+0.23,176,105.0,180,104.7,185,+0.23,176
175,176,Belmont,MVC,1-1,-1.45,104.6,163,106.0,191,72.9,76,+.000,104,-4.27,226,103.2,212,107.4,236,-4.27,226
176,177,Merrimack,MAAC,1-0,-1.47,98.7,294,100.2,85,69.9,276,+.000,104,-0.85,189,101.6,238,102.4,140,-0.85,189
177,178,Bryant,AE,1-1,-1.50,102.6,210,104.1,147,75.8,6,+.000,104,-15.51,314,93.6,340,109.2,271,-15.51,314
178,179,Longwood,BSth,2-0,-1.66,103.6,188,105.2,171,70.4,240,+.000,104,-19.39,339,95.1,317,114.5,345,-19.39,339
179,180,St. Thomas,Sum,2-0,-1.68,107.5,112,109.2,289,69.2,309,+.000,104,-7.64,256,104.1,194,111.8,313,-7.64,256
180,181,East Tennessee St.,SC,1-1,-1.74,105.0,156,106.7,218,69.7,285,+.000,104,-11.38,282,102.2,231,113.6,335,-11.38,282
181,182,Tulane,Amer,2-0,-1.75,103.8,181,105.6,182,74.3,19,+.000,104,-17.15,323,94.5,327,111.6,310,-17.15,323
182,183,Wright St.,Horz,2-1,-1.79,106.0,142,107.7,250,72.3,106,+.139,27,+12.19,78,111.5,75,99.3,81,+12.19,78
183,184,Georgia Southern,SB,1-1,-1.82,103.5,190,105.3,175,73.5,40,-.091,328,-6.34,245,101.9,232,108.3,255,-6.34,245
184,185,Illinois Chicago,MVC,2-0,-1.83,104.2,173,106.0,193,71.4,178,+.000,104,+0.35,175,105.2,176,104.8,189,+0.35,175
185,186,Jacksonville,ASun,1-1,-2.13,102.3,217,104.4,158,68.0,346,+.000,104,+24.15,9,119.5,4,95.4,33,+24.15,9
186,187,Marshall,SB,1-1,-2.38,103.8,184,106.2,196,72.7,85,+.000,104,-3.93,220,107.3,135,111.3,306,-3.93,220
187,188,Drexel,CAA,2-0,-2.40,102.4,215,104.8,161,68.4,336,+.000,104,-11.67,284,98.0,294,109.6,277,-11.67,284
188,189,Milwaukee,Horz,1-1,-2.59,106.4,138,109.0,279,72.1,125,+.000,104,+10.53,92,110.3,94,99.8,90,+10.53,92
189,190,UT Arlington,WAC,1-1,-2.62,106.4,136,109.1,284,72.6,90,+.000,104,+3.32,154,107.9,130,104.5,182,+3.32,154
